customer_name,year,asof_date,arr
Ferry PLC,2018,2018-01-01,4930.5
Albertson-Belfact,2019,2019-01-01,1782.88
"Alora, Matter and Vertex",2019,2019-01-01,615.69
Auer-Koch,2019,2019-01-01,1393.81
Bahringer-Ankunding,2019,2019-01-01,5629.79
"Bartell, Barrows and Mayert",2019,2019-01-01,8693.82
Barton Group,2019,2019-01-01,2404.59
Barton Inc,2019,2019-01-01,221.61
"Barton, Hammes and Deckow",2019,2019-01-01,8.02
Bayer LLC,2019,2019-01-01,16410.05
"Beier, Boone and Schoen",2019,2019-01-01,50.14
"Beier, Schmidt and Koepp",2019,2019-01-01,807.0
Belfact-Stroman,2019,2019-01-01,1776.87
Bergstrom Group,2019,2019-01-01,191.52
"Bernhard, DuBuque and Green",2019,2019-01-01,1398.04
Bernier Group,2019,2019-01-01,75.21
Bernier-Boyer,2019,2019-01-01,1479.06
Blick PLC,2019,2019-01-01,220.6
"Bogisich, Welch and Beahan",2019,2019-01-01,160.44
"Bon, Runte and Bergstrom",2019,2019-01-01,316.87
Boyle LLC,2019,2019-01-01,4778.09
Boyle-Cronin,2019,2019-01-01,1300.57
"Braun, Leffler and Hessel",2019,2019-01-01,59.16
"Braun, Nader and Hoeger",2019,2019-01-01,2757.56
"Brekke, Hayes and Ankunding",2019,2019-01-01,36.91
Bruen LLC,2019,2019-01-01,474.3
Bruen-Oberbrunner,2019,2019-01-01,7.02
Bundel PLC,2019,2019-01-01,4004.97
Cassle Inc,2019,2019-01-01,613.68
Chechauski-Bergstrom,2019,2019-01-01,324.89
Cole-Towne,2019,2019-01-01,2135.85
"Collins, Pfannerstill and Auer",2019,2019-01-01,1922.27
Connelly PLC,2019,2019-01-01,1406.86
Corwin-Hoeger,2019,2019-01-01,538.48
Corwin-Metz,2019,2019-01-01,1349.7
Cremin-Stracke,2019,2019-01-01,1249.42
Cremin-Wolff,2019,2019-01-01,1923.28
"Cronin, Gaylord and Runte",2019,2019-01-01,280.77
Cronin-Batz,2019,2019-01-01,1884.16
Cummings Inc,2019,2019-01-01,507.39
"Cummings, Bednar and Gerlach",2019,2019-01-01,813.15
"D'Amore, Douglas and Hintz",2019,2019-01-01,456.47
"Deckow, Blick and Ponting",2019,2019-01-01,277.76
Dickens LLC,2019,2019-01-01,452.24
Dicki PLC,2019,2019-01-01,1226.36
Douglas-Muller,2019,2019-01-01,662.81
Ebert-Mohr,2019,2019-01-01,731.01
"Effertz, Lebsack and Mosciski",2019,2019-01-01,506.94
"Effertz, Lind and Auer",2019,2019-01-01,36207.21
"Eichmann, Batz and Canten",2019,2019-01-01,3212.8
Ernser-Huel,2019,2019-01-01,124.34
Ernser-Kertzmann,2019,2019-01-01,247.68
Ernser-Paucek,2019,2019-01-01,278.76
Fadel Group,2019,2019-01-01,4373.05
Fadel Ltd,2019,2019-01-01,258.71
Fadel-Pfannerstill,2019,2019-01-01,1447.97
Fahey-Ponting,2019,2019-01-01,805.21
Feil-Reilly,2019,2019-01-01,341.93
Friesen and Sons,2019,2019-01-01,142.25
"Frost, Agarwaliamson and Hane",2019,2019-01-01,9597.29
"Frost, Strosin and Watsica",2019,2019-01-01,689.89
"Gaverman, Kessler and Rolfson",2019,2019-01-01,112.31
Gaylord LLC,2019,2019-01-01,8828.18
"Gaylord, Reilly and Watsica",2019,2019-01-01,385.86
Gerhold-Agarwal,2019,2019-01-01,268.74
Gerhold-Armstrong,2019,2019-01-01,1771.86
"Gerlach, Reynolds and Cormier",2019,2019-01-01,975.67
"Gibson, Reinger and Boyer",2019,2019-01-01,644.76
"Gleason, Bartoletti and Stoltenberg",2019,2019-01-01,3946.81
Glover Group,2019,2019-01-01,2514.89
"Glover, Jast and Cassin",2019,2019-01-01,1107.04
Goldner Ltd,2019,2019-01-01,12.03
"Goldner, Lueilwitz and McClure",2019,2019-01-01,3050.36
Gorczany LLC,2019,2019-01-01,1930.29
Gorczany-Lind,2019,2019-01-01,3968.0
Goyette-Kassulke,2019,2019-01-01,46.13
Goyette-Rosenbaum,2019,2019-01-01,3443.44
"Grady, Yost and Weber",2019,2019-01-01,3658.02
Grant-Lemke,2019,2019-01-01,1113.05
Green-Cassin,2019,2019-01-01,513.4
Greenfelder Ltd,2019,2019-01-01,3672.51
"Greenfelder, Johns and Buckridge",2019,2019-01-01,783.15
Halvorson Inc,2019,2019-01-01,4434.15
"Hansen, Frami and Ritchie",2019,2019-01-01,269.74
Harris LLC,2019,2019-01-01,2856.83
Hartmann PLC,2019,2019-01-01,1021.8
Hartmann-Murray,2019,2019-01-01,1695.65
Harvey PLC,2019,2019-01-01,62686.75
Hauck PLC,2019,2019-01-01,389.07
Hayes Inc,2019,2019-01-01,200.07
"Hayes, Watsica and Wintheiser",2019,2019-01-01,425.16
Hayes-SchoStantner,2019,2019-01-01,146.4
Hegmann and Sons,2019,2019-01-01,4047.09
Heller and Sons,2019,2019-01-01,1896.1
"Heller, Robel and Mann",2019,2019-01-01,3517.64
Herzog-Bode,2019,2019-01-01,96349.97
Hill-Batz,2019,2019-01-01,1321.62
"Hills, Grimes and Wuckert",2019,2019-01-01,691.89
Hudson Group,2019,2019-01-01,116068.48
Huels-Parker,2019,2019-01-01,2127.83
Jacobi-Butler,2019,2019-01-01,1.0
Jacobi-Tremblay,2019,2019-01-01,3987.67
Jacobs-Emard,2019,2019-01-01,131.36
Jacobson-Pagac,2019,2019-01-01,4432.14
Jakubowski-Schneider,2019,2019-01-01,5.01
Jakubowski-Schultz,2019,2019-01-01,9200.21
"Jenkins, Crooks and Kulas",2019,2019-01-01,451.23
Jerde-Hintz,2019,2019-01-01,11609.8
"Johnston, Casper and Robel",2019,2019-01-01,1524.18
"Kassulke, Heidenreich and Cummerata",2019,2019-01-01,545.49
Kassulke-Barton,2019,2019-01-01,136.0
"Kerluke, Dach and Rogahn",2019,2019-01-01,1562.46
"Kessler, Agarwal and Grady",2019,2019-01-01,537.48
Kiehn-Morissette,2019,2019-01-01,3400.32
Kilback LLC,2019,2019-01-01,286.78
King and Sons,2019,2019-01-01,2651.83
King-Runte,2019,2019-01-01,85.24
Kirlin Ltd,2019,2019-01-01,214.59
"Klein, Goyette and Stoltenberg",2019,2019-01-01,377.93
Koch Ltd,2019,2019-01-01,529.45
"Koch, Flatley and Spinka",2019,2019-01-01,1556.29
Koelpin-Nitzsche,2019,2019-01-01,966.65
Kohler Inc,2019,2019-01-01,1387.2
Konopelski Ltd,2019,2019-01-01,12095.15
Konopelski PLC,2019,2019-01-01,1518.66
Koss-Towne,2019,2019-01-01,5246.38
Kreiger Group,2019,2019-01-01,2917.98
"Kreiger, Zboncak and Stehr",2019,2019-01-01,437.2
Kreiger-Okuneva,2019,2019-01-01,11827.4
Kris Group,2019,2019-01-01,9.02
Kub PLC,2019,2019-01-01,483.32
Kuhlman Inc,2019,2019-01-01,1345.45
Kuvalis-Schroeder,2019,2019-01-01,828.27
Langworth Inc,2019,2019-01-01,209.44
"Langworth, Lueilwitz and Wuckert",2019,2019-01-01,554.51
Larson Inc,2019,2019-01-01,1841.43
Leannon Group,2019,2019-01-01,1577.32
"Ledner, Ebert and Gibson",2019,2019-01-01,3233.62
Ledner-Rowe,2019,2019-01-01,270.74
Lemke Inc,2019,2019-01-01,885.43
"Lemke, Nitzsche and Bergstrom",2019,2019-01-01,1099.01
Lind-Nikolaus,2019,2019-01-01,147.4
"Lindgren, Torphy and Gislason",2019,2019-01-01,6402.55
Littel PLC,2019,2019-01-01,3339.15
"Lowe, Kautzer and Ward",2019,2019-01-01,524.43
Lubowitz Ltd,2019,2019-01-01,1304.94
"Lueilwitz, Yost and McDermott",2019,2019-01-01,1209.31
"Macejkovic, Zamber and Grady",2019,2019-01-01,174.48
"Mackerrel, Schuppe and Agarwal",2019,2019-01-01,3158.66
Mann-Baumbach,2019,2019-01-01,1295.54
Marquardt PLC,2019,2019-01-01,3247.9
Mauston-Mohr,2019,2019-01-01,693.36
Mayer Inc,2019,2019-01-01,1107.03
Mayer-Parisian,2019,2019-01-01,3085.45
McCullough Inc,2019,2019-01-01,6370.45
"McDermott, Weimann and Medhurst",2019,2019-01-01,464.27
McKinnon PLC,2019,2019-01-01,1258.45
Mills and Sons,2019,2019-01-01,517.26
Moen and Sons,2019,2019-01-01,2084.72
Moen-Prosacco,2019,2019-01-01,3020.28
Morissette-Upton,2019,2019-01-01,184.51
"Nitzsche, Prohaska and Lind",2019,2019-01-01,60.16
"Nolan, Gupta and Wisozk",2019,2019-01-01,50.14
"Norman, Lakin and Lesch",2019,2019-01-01,1591.77
"O'Conner, Heaney and Mills",2019,2019-01-01,297.82
O'Keefe-Agarwaliamson,2019,2019-01-01,1925.27
Olson-Gaverman,2019,2019-01-01,4034.05
"Pimpernel, Russel and DuBuque",2019,2019-01-01,185.51
Ponting and Sons,2019,2019-01-01,61.17
"Pouros, Schumm and Feil",2019,2019-01-01,3616.91
"Prohaska, Block and Stracke",2019,2019-01-01,1389.25
"Prohaska, Kunze and Konopelski",2019,2019-01-01,632.73
Prohaska-Hansen,2019,2019-01-01,1514.15
"Purdy, Schneider and Quitzon",2019,2019-01-01,2050.62
"Quitzon, Bon and Trantow",2019,2019-01-01,2013.26
Rau Ltd,2019,2019-01-01,1531.19
"Rau, Wehner and Roberts",2019,2019-01-01,399.1
Reichel-Heidenreich,2019,2019-01-01,6276.19
Reynolds Inc,2019,2019-01-01,20280.56
Robel Inc,2019,2019-01-01,1227.36
Romaguera Inc,2019,2019-01-01,457.25
Romaguera-Durgan,2019,2019-01-01,43.12
"Rowe, Wyman and Rau",2019,2019-01-01,3600.87
"Rumsfeld, Batz and Heaney",2019,2019-01-01,28842.55
"Rumsfeld, Senger and Murazik",2019,2019-01-01,3.0
"Runte, Lueilwitz and Doyle",2019,2019-01-01,395.08
Russel Ltd,2019,2019-01-01,1612.42
Rutherford-Zamber,2019,2019-01-01,889.86
"Sanford, Feest and Dibbert",2019,2019-01-01,125.34
Sauer Ltd,2019,2019-01-01,5598.34
SchamBundelr-Hessel,2019,2019-01-01,820.25
"SchoStantner, McKinnon and Nicolas",2019,2019-01-01,3619.91
Schulist Inc,2019,2019-01-01,1650.05
"Schulist, Luettgen and Miller",2019,2019-01-01,28884.42
Schultz Ltd,2019,2019-01-01,770.11
Schumm-Satterfield,2019,2019-01-01,979.68
Schuppe LLC,2019,2019-01-01,2104.77
Schuppe-Hills,2019,2019-01-01,0.0
Schuster-D'Amore,2019,2019-01-01,20.05
Shanahan-McKinnon,2019,2019-01-01,237.65
Shields-Batz,2019,2019-01-01,361.99
Sipes Group,2019,2019-01-01,1981.43
Skiles and Sons,2019,2019-01-01,853.34
Smitham and Sons,2019,2019-01-01,695.91
"Smitham, Bins and Bins",2019,2019-01-01,56.15
"Smitham, Collier and Kozey",2019,2019-01-01,794.18
Spinka-McClure,2019,2019-01-01,689.89
Sporer LLC,2019,2019-01-01,856.34
"Sporer, Huel and Cremin",2019,2019-01-01,16143.22
Stantner Group,2019,2019-01-01,695.91
Stantner LLC,2019,2019-01-01,1207.31
"Stanton, Homenick and Donnelly",2019,2019-01-01,1123.07
"Thiel, Yost and Mante",2019,2019-01-01,552.51
Torp Ltd,2019,2019-01-01,2291.27
"Toy, Price and Pollich",2019,2019-01-01,1552.25
Treutel-Muller,2019,2019-01-01,72123.53
"Turcotte, Kuhic and Keeling",2019,2019-01-01,183395.89
Ullrich-Zamber,2019,2019-01-01,5634.44
Volkman-Sipes,2019,2019-01-01,1389.8
Waelchi Inc,2019,2019-01-01,14999.1
Weber LLC,2019,2019-01-01,145.4
"Weber, Connelly and Ernser",2019,2019-01-01,3648.99
"Weissnat, Murazik and McDermott",2019,2019-01-01,409.12
Welch and Sons,2019,2019-01-01,389.07
"Welch, Welch and Farrell",2019,2019-01-01,91.25
"West, Hermiston and Hoeger",2019,2019-01-01,2070.67
West-Kihn,2019,2019-01-01,452.24
West-Marks,2019,2019-01-01,18026.39
"Wiegand, Kovacek and Torp",2019,2019-01-01,492.35
"Wilderman, Pollich and Kunze",2019,2019-01-01,331.91
"Wintheiser, Howe and Wisoky",2019,2019-01-01,82354.64
Witting LLC,2019,2019-01-01,13948.21
Wuckert-Hane,2019,2019-01-01,5075.91
Wunsch PLC,2019,2019-01-01,1222.35
Wyman-Bogan,2019,2019-01-01,487.33
Zamber-Cassle,2019,2019-01-01,4594.59
Zboncak Group,2019,2019-01-01,894.45
"Zboncak, O'Conner and Rempel",2019,2019-01-01,2697.39
Zboncak-Corkery,2019,2019-01-01,437.2
Ziemann PLC,2019,2019-01-01,1249.11
Zieme-Hermann,2019,2019-01-01,6548.94
"Aberly, Monahan and Mann",2020,2020-01-01,279.0
Aberly-Canten,2020,2020-01-01,1508.0
Agarwalms and Sons,2020,2020-01-01,525.0
Albertson-Belfact,2020,2020-01-01,7285.0
"Alora, Matter and Vertex",2020,2020-01-01,666.0
Ankunding LLC,2020,2020-01-01,1691.0
Auer Group,2020,2020-01-01,490.03
Auer-Koch,2020,2020-01-01,16585.1
Avelona Group,2020,2020-01-01,3616.0
Bahringer-Ankunding,2020,2020-01-01,230.0
Bartoletti-Kreiger,2020,2020-01-01,707.0
Barton Inc,2020,2020-01-01,43.0
"Barton, Heidenreich and Witting",2020,2020-01-01,1718.0
Bashirian Group,2020,2020-01-01,6448.0
Batz Ltd,2020,2020-01-01,2948.08
Bayer - Miller,2020,2020-01-01,717.0
Bayer LLC,2020,2020-01-01,158.0
Beahan Group,2020,2020-01-01,1093.0
"Bechel, Ondricka and Abbott",2020,2020-01-01,37606.0
Bechel-Feest,2020,2020-01-01,81.0
"Beer, Schimmel and Mackerrel",2020,2020-01-01,2767.0
Beier-Bins,2020,2020-01-01,195851.0
Beier-Stehr,2020,2020-01-01,1377.0
Belfact LLC,2020,2020-01-01,434.0
"Belfact, Thiel and Koepp",2020,2020-01-01,315.0
Bergstrom LLC,2020,2020-01-01,174.33
"Bernhard, DuBuque and Green",2020,2020-01-01,684.0
Bernier Group,2020,2020-01-01,824.26
Bernier Ltd,2020,2020-01-01,70520.0
"Bernier, Fisher and Waelchi",2020,2020-01-01,167.0
"Bernier, West and Pimpernel",2020,2020-01-01,762.0
Bernier-Boyer,2020,2020-01-01,207.55
Bins LLC,2020,2020-01-01,2095.0
Bins-Glover,2020,2020-01-01,2821.21
Bins-Jast,2020,2020-01-01,269.0
Blanda LLC,2020,2020-01-01,1440.0
"Blick, Bernier and Flatley",2020,2020-01-01,302.32
Blick-Ondricka,2020,2020-01-01,1253.0
"Block, Jacobi and Mueller",2020,2020-01-01,424.0
"Bode, Bartoletti and Schultz",2020,2020-01-01,168.0
Boehm Group,2020,2020-01-01,487.0
"Bogisich, Christiansen and Brakus",2020,2020-01-01,204.19
"Bogisich, Simonis and Heller",2020,2020-01-01,810.4
"Bogisich, Welch and Beahan",2020,2020-01-01,21779.0
Bon Ltd,2020,2020-01-01,4945.0
Botsford-Olson,2020,2020-01-01,2974.0
Boyle and Sons,2020,2020-01-01,202.0
"Bradtke, Ratke and Huels",2020,2020-01-01,2921.0
